epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1578,1.19189,2.4064,1.54055,0.00214,0.51261,0.15147,0.06412,2.5379,4.0758,2.73578,0.000647619,0.000647619,0.000647619
2,43.2299,1.23466,1.70159,1.54388,0.60874,0.18487,0.33697,0.13219,1.76992,3.21392,2.21671,0.00128826,0.00128826,0.00128826
3,64.1216,1.24651,1.57026,1.54289,0.19889,0.22689,0.09896,0.02902,2.12059,3.23676,3.67379,0.00190251,0.00190251,0.00190251
4,84.8794,1.25684,1.4321,1.55226,0.07765,0.07563,0.02985,0.01049,3.06656,3.2034,4.43338,0.0018812,0.0018812,0.0018812
5,105.72,1.24048,1.30716,1.51901,0.5217,0.53782,0.48143,0.25249,1.3329,2.65288,1.95109,0.0018416,0.0018416,0.0018416
6,126.107,1.19612,1.22718,1.49926,0.61398,0.70588,0.72712,0.40053,1.28624,1.31913,1.80817,0.001802,0.001802,0.001802
7,147.358,1.15606,1.15884,1.47103,0.76284,0.68908,0.74852,0.39392,1.34817,1.34628,1.81446,0.0017624,0.0017624,0.0017624
8,167.605,1.13967,1.10123,1.46608,0.61176,0.71429,0.65413,0.36301,1.13985,1.46531,1.61794,0.0017228,0.0017228,0.0017228
9,189.283,1.11933,1.0338,1.42254,0.7157,0.7479,0.78245,0.50112,1.13122,1.23337,1.66241,0.0016832,0.0016832,0.0016832
10,210.544,1.10758,1.04541,1.41289,0.6149,0.77826,0.6742,0.37511,1.06303,1.28641,1.5471,0.0016436,0.0016436,0.0016436
11,231.321,1.07688,0.96257,1.39959,0.73289,0.76089,0.80632,0.47042,1.08656,1.16389,1.57207,0.001604,0.001604,0.001604
12,252.803,1.0971,0.97852,1.39974,0.70377,0.83193,0.82085,0.50735,1.00868,1.05949,1.49216,0.0015644,0.0015644,0.0015644
13,273.026,1.03585,0.9148,1.38276,0.78278,0.84792,0.87181,0.53295,1.09932,0.94374,1.59095,0.0015248,0.0015248,0.0015248
14,294.079,1.0098,0.92022,1.35442,0.66727,0.76471,0.70663,0.3811,1.2354,1.20641,1.71548,0.0014852,0.0014852,0.0014852
15,315.506,1.01622,0.8907,1.33562,0.81336,0.76905,0.84152,0.48457,1.11472,1.04496,1.57059,0.0014456,0.0014456,0.0014456
16,335.276,0.98648,0.88039,1.31578,0.72595,0.83193,0.84294,0.535,1.06539,0.95488,1.56267,0.001406,0.001406,0.001406
17,356.599,0.94661,0.83881,1.30063,0.80186,0.78217,0.84028,0.51178,1.04912,1.01162,1.53783,0.0013664,0.0013664,0.0013664
18,376.766,0.95916,0.83357,1.29681,0.77421,0.8068,0.8203,0.52415,1.11515,0.9544,1.64245,0.0013268,0.0013268,0.0013268
19,397.751,0.9326,0.80362,1.30126,0.88789,0.85714,0.93159,0.54501,1.1479,0.90637,1.61105,0.0012872,0.0012872,0.0012872
20,417.846,0.92119,0.80735,1.28733,0.74559,0.86199,0.84101,0.52128,1.2138,0.99859,1.68827,0.0012476,0.0012476,0.0012476
21,438.384,0.89183,0.77167,1.24611,0.90559,0.84034,0.88532,0.56133,1.0336,0.88379,1.61514,0.001208,0.001208,0.001208
22,459.307,0.87921,0.76879,1.2621,0.80444,0.85714,0.86135,0.55963,1.0982,0.91422,1.60266,0.0011684,0.0011684,0.0011684
23,479.155,0.89271,0.75684,1.26379,0.82976,0.81921,0.88334,0.61326,0.98438,0.81651,1.51752,0.0011288,0.0011288,0.0011288
24,499.946,0.85433,0.74238,1.2412,0.83817,0.82353,0.873,0.56163,0.99252,0.87803,1.49605,0.0010892,0.0010892,0.0010892
25,520.056,0.89153,0.75811,1.26168,0.87186,0.78151,0.91361,0.57498,1.05303,0.87457,1.5654,0.0010496,0.0010496,0.0010496
26,541.571,0.83332,0.72881,1.22426,0.82338,0.82267,0.87546,0.57228,1.03441,0.90024,1.56417,0.00101,0.00101,0.00101
27,561.668,0.80546,0.69548,1.20684,0.8154,0.89916,0.89564,0.57166,1.00568,0.82362,1.55843,0.0009704,0.0009704,0.0009704
28,582.151,0.81403,0.69798,1.2121,0.79139,0.91597,0.90382,0.57781,0.97781,0.86015,1.4802,0.0009308,0.0009308,0.0009308
29,602.326,0.80666,0.69477,1.21774,0.8672,0.82312,0.87383,0.56157,0.92017,0.9196,1.4163,0.0008912,0.0008912,0.0008912
30,622.904,0.80452,0.67158,1.19865,0.89039,0.84034,0.91838,0.5902,1.04114,0.76964,1.58914,0.0008516,0.0008516,0.0008516
31,644.187,0.78816,0.65391,1.19503,0.85861,0.83193,0.88563,0.57385,0.95665,0.82322,1.47864,0.000812,0.000812,0.000812
